Auctioneer,Phone,E-mail,District,Region,Latitude,Longitude,Title of auction,Beginning_on,Beginning_at,Category,Subcategory,Auction_code,Estimated_price,Reserve_price,Link
Skoupá Kateřina,515536375,podatelna@exekutor-skoupa.cz,Znojmo,Jihomoravský kraj,48.8784087,16.2895316,Ideální 1/2 pozemku v Čejkovicích - okr. Znojmo,2021-09-06,08:00,Nemovitosti,Pozemek,166EX16/14-340,9085,6057,https://www.portaldrazeb.cz/drazba/166ex16-14-340-aqp05
Suchánek Michal,266032031,suchanek@exekucepraha.cz,Praha,Hlavní město Praha,50.0763558,14.4734914,"Dražba spoluvlastnického podílu ve výši 1/12 na pozemku v obci Babice, okr. Hradec Králové",2021-09-06,09:00,Nemovitosti,Pozemek,EX05617/14-170,21000,14000,https://www.portaldrazeb.cz/drazba/220ex05617-14-170-mgozj
Suchánek Michal,266032031,suchanek@exekucepraha.cz,Praha,Hlavní město Praha,50.0763558,14.4734914,"Dražba spoluvlastnického podílu ve výši 1/4 na pozemcích v obci Lanžhot, okr. Břeclav",2021-09-06,09:00,Nemovitosti,Pozemek,EX03742/18-172,79000,52667,https://www.portaldrazeb.cz/drazba/220ex03742-18-172-45lej
Svoboda Jan,585750843,podatelna@exekutor-svoboda.cz,Náchod,Královéhradecký kraj,50.3615314,15.8727806,"Pozemek o velikosti 150,00 m2, Rtyně, podíl 1/2, opakovaná dražba",2021-09-06,09:00,Nemovitosti,Pozemek,64EX654/12-313,24000,12000,https://www.portaldrazeb.cz/drazba/164ex654-12-313-1lqxa
Suchánek Michal,266032031,suchanek@exekucepraha.cz,Neuvedeno,-,,,Dražba movitých věcí - 5x zmrzlinové automaty,2021-09-06,09:00,Movitosti,Elektronika,0EX02141/21-36,90000,30000,https://www.portaldrazeb.cz/drazba/220ex02141-21-36-mgo5z
Skoupá Kateřina,515536375,podatelna@exekutor-skoupa.cz,Svitavy,Pardubický kraj,49.6874062,16.1885967,Rodinný dům v obci Telecí - okr. Svitavy,2021-09-06,11:00,Nemovitosti,Rodinný dům,166EX446/20,780000,520000,https://www.portaldrazeb.cz/drazba/166ex446-20-dqorl
Kubis Marcel,583550263,urad@exekucesumperk.cz,Klatovy,Plzeňský kraj,49.2081661,13.5127661,"Dražba podílu id. 1/8 na pozemku v obci Sušice, okres Klatovy",2021-09-06,11:30,Nemovitosti,Pozemek,139EX06563/15,17000,11334,https://www.portaldrazeb.cz/drazba/139ex06563-15-95ldj
Kubis Marcel,583550263,urad@exekucesumperk.cz,Most,Ústecký kraj,,,"Dražba bytové jednotky 4+1 v obci Litvínov, okres Most",2021-09-06,12:00,Nemovitosti,Byt,139EX12020/19,59000,39334,https://www.portaldrazeb.cz/drazba/139ex12020-19-mgop0
Bohutínský Jan,499841570,podatelna@exekutor-trutnov.cz,Náchod,Královéhradecký kraj,50.3516097,16.1691017,Spoluvlastnický podíl na nemovitostech - pozemky vč. rekreační chaty v Novém Městě nad Metují,2021-09-07,07:00,Nemovitosti,Pozemek,158EX486/20-63,320000,213333,https://www.portaldrazeb.cz/drazba/158ex486-20-63-xjwwk
Košina Kamil,388311061,kamil.kosina@seznam.cz,Benešov,Středočeský kraj,49.6734948,14.6432828,"zemědělská usedlost - Olbramovice u Votic, obec Olbramovice",2021-09-07,07:00,Nemovitosti,Zemědělská stavba,040EX3138/06,202000,134667,https://www.portaldrazeb.cz/drazba/040ex3138-06-a9mkr
